SLD,SST,SSS,Density,D23,MLD,OHC,WS,WSC,HF,SV
36.37204182,28.87644741,32.689976,1022.920046,88.18707174,38.65016599,10.88,0.038516252,2.90E-07,85.80225303,1538.467524
33.08678079,29.1281535,32.467525,1022.942171,87.39459548,30.27726689,10.86,0.02579138,6.20E-07,69.00676764,1538.404066
34.07270853,28.99182619,32.13527,1022.88986,87.34367933,33.77391883,10.83,0.003546788,5.96E-07,68.30774068,1538.340431
37.97522728,28.66705504,32.130127,1022.725929,90.96804275,42.05481536,11,-0.007502001,3.12E-07,15.88017149,1538.926679
45.3280005,27.80326405,32.36996,1022.820156,85.41401032,51.03584544,10.97,-0.013822438,1.03E-07,-4.006817329,1538.38605
44.46134945,27.52235373,32.50893,1022.976892,89.03746262,47.67524229,10.75,-0.01312885,-1.86E-08,-3.834253718,1537.358095
38.56105098,27.83018974,32.70812,1023.075867,86.52289699,44.16023596,10.65,-0.012482932,-2.22E-07,42.78530795,1537.21216
24.93885537,29.15491115,32.771004,1023.050899,86.56658651,26.9546525,10.81,-0.000459917,-3.08E-07,65.18006447,1538.359071
12.49746337,30.02560625,32.79302,1022.92383,88.69690235,23.3499531,11.01,0.004588129,-3.68E-07,71.05262217,1539.452621
21.83869879,29.9555078,32.99737,1022.788369,89.67707004,31.44248559,11.15,0.019812841,-5.06E-07,69.20386051,1540.302988
25.75944692,29.45060406,33.07285,1022.898149,89.91924556,35.2360162,11.03,0.032102519,-5.91E-07,73.26506323,1539.617366
37.23953842,28.90626184,32.99534,1022.982765,87.19109419,40.01868585,10.89,0.051790368,-2.61E-07,83.9858313,1538.869507
33.86702613,28.4296379,32.71608,1022.992835,85.69061762,27.2877262,10.81,0.045654934,4.87E-07,91.90883613,1538.176222
29.60360597,28.76442706,32.40694,1023.090828,82.71207544,29.1602605,10.71,0.024119019,7.95E-07,77.57569585,1537.785024
29.52141734,29.09371087,32.18358,1023.025625,83.7592609,24.58894547,10.69,0.000999261,6.40E-07,66.56211202,1537.761064
30.95577967,28.98369021,31.991997,1023.043175,83.36132187,30.42827334,10.63,-0.01143205,4.36E-07,27.90288027,1537.378816
36.47287829,28.05076941,32.130447,1023.187728,82.42761963,35.71438305,10.52,-0.023123505,1.51E-07,-28.55304273,1536.38968
42.94844851,27.04376834,32.422836,1023.25121,84.19612349,38.79748249,10.42,-0.019289382,-2.07E-07,-5.554203791,1535.569545
39.15267021,27.4536805,32.591793,1023.242199,83.54152733,31.99449732,10.47,-0.010971226,-3.17E-07,29.45884088,1536.148357
32.89272938,28.23924979,32.722042,1023.211518,83.03974119,25.91747131,10.54,-0.001273882,-2.31E-07,64.41782923,1536.819027
12.22883392,29.60992485,32.81235,1023.031744,85.56540877,17.9422544,10.85,0.001952402,-4.22E-07,90.23047819,1538.631328
20.84363037,29.7831476,32.928665,1022.849896,88.93973209,28.41773429,11.07,0.022069063,-4.18E-07,81.94289352,1539.863274
21.20269936,29.57781759,32.97119,1022.92327,88.65867699,28.28792204,11.02,0.024544014,-2.02E-07,70.92941493,1539.559161
36.1006268,28.90773392,32.978573,1023.006316,86.4662215,37.65061812,10.87,0.032679615,-3.14E-07,88.9157102,1538.729017
35.70826466,28.62207011,32.781097,1022.960342,88.27212391,39.7608482,10.86,0.04125503,5.84E-08,84.57898554,1538.445745
32.33995974,28.78428326,32.483196,1023.059258,85.11455919,37.43240261,10.74,0.028702199,6.23E-07,80.46934336,1537.897763
33.26237689,28.73165182,32.23102,1023.033096,83.28893169,37.51273004,10.66,0.00602086,6.48E-07,64.41330982,1537.485787
35.36534444,28.52578614,32.267624,1022.959693,84.91211886,35.50065824,10.72,-0.007528103,4.51E-07,25.52445505,1537.476422
41.35951643,27.59575736,32.46592,1023.038747,85.5031109,42.82837425,10.71,-0.018902352,7.72E-08,-6.269130416,1537.205424
45.12934876,27.35501577,32.49054,1023.072783,90.80479919,43.90149948,10.69,-0.011617594,-1.24E-07,20.94135382,1537.077894
39.58223364,27.71651141,32.68809,1023.092131,89.49031954,43.57905755,10.71,-0.01190581,-1.52E-07,37.03856129,1537.410908
31.54262123,28.52013371,32.833057,1023.01681,92.21501575,30.6953547,10.84,-0.003042626,-2.69E-07,78.14601177,1538.328419
17.01254528,29.69393993,32.8765,1022.837921,92.20337715,20.21370412,11.16,0.002942688,-7.01E-07,80.53533316,1540.269458
26.51476546,29.35180564,33.00101,1022.754936,94.43418347,35.77249245,11.18,0.035639953,-6.75E-07,79.03471596,1540.363125
25.70858077,29.15313294,33.002644,1022.923526,90.20190464,33.3993155,10.99,0.039530719,-3.20E-08,76.11747454,1539.502821
33.46704445,28.74337873,33.037247,1023.020495,86.99592306,43.89508888,10.84,0.03686446,1.70E-07,86.29333212,1538.598684
32.62992266,28.4419448,32.774227,1022.948679,87.07978217,30.72287579,10.83,0.029275191,1.68E-07,96.97106932,1538.266803
33.56999554,28.83846881,32.437454,1022.914824,87.28641441,31.31322387,10.93,0.026917599,4.93E-07,77.66563771,1538.793391
30.79903468,29.35356567,32.070206,1022.86546,87.42520384,27.66642796,10.91,0.001464683,7.01E-07,61.9425168,1538.776842
37.82953676,28.69585543,32.161335,1022.746025,92.23153433,44.3971549,11.03,-0.012011967,3.56E-07,20.33818992,1539.140307
45.93757748,27.85101709,32.174942,1022.809062,89.48545447,49.7462886,10.97,-0.018252209,1.38E-07,-12.47927702,1538.39021
48.38983483,27.1516641,32.415047,1022.990791,92.43856319,60.71796963,10.76,-0.019411906,-2.56E-07,-11.63603961,1537.315496
40.87599287,27.60561702,32.65816,1023.110391,87.08139774,47.61415721,10.66,-0.00341109,-3.31E-07,42.5321711,1537.201138
24.88473656,28.89715516,32.696266,1023.02775,88.62180046,17.2440928,10.82,-0.000845013,-1.53E-07,79.62241094,1538.407729
15.19678508,29.79159543,32.826355,1022.935783,89.23051843,20.01854475,11.02,0.005083248,-3.74E-07,73.17747217,1539.556362
17.32967351,29.87129479,32.98499,1022.784076,90.69232378,28.20876548,11.18,0.019651528,-8.03E-07,73.40802946,1540.419375
27.10206762,29.23691558,33.036903,1022.782622,88.04356401,31.24301312,11.09,0.048834462,-5.47E-07,73.31163353,1539.868395
37.28688177,28.84271605,32.98495,1022.95603,87.41028748,44.53615553,10.92,0.04910739,3.19E-07,82.93154211,1539.055742
29.61280562,28.91052362,32.801228,1023.02015,85.20870405,28.02783909,10.78,0.030503062,2.94E-07,89.21749896,1538.125294
30.88964041,28.9714058,32.418594,1022.977616,86.9074471,30.80395142,10.81,0.032119165,4.50E-07,75.90117169,1538.160829
33.33953067,29.1094417,32.218132,1022.929626,86.73663728,33.71562712,10.85,0.004780854,7.84E-07,64.90207432,1538.436846
31.58818466,28.98962141,32.069458,1022.905963,86.95167805,36.06225051,10.83,-0.011409661,4.44E-07,23.54155536,1538.26113
42.78694221,28.16465763,32.246414,1022.885223,89.64202543,44.03206941,10.94,-0.019835743,4.79E-08,-8.826261317,1538.453104
49.03931952,27.72028507,32.519455,1022.954496,93.39299532,51.70243414,10.87,-0.01401354,-1.98E-07,6.665660305,1538.113492
39.6267992,28.01147691,32.693497,1023.140015,83.96344691,39.14695809,10.61,-0.008582886,-2.42E-07,35.58197915,1537.125005
17.24328854,29.16119276,32.836403,1023.107188,80.37293225,8.569188574,10.7,-0.000163594,-2.56E-07,72.39174073,1537.858519
12.12903174,30.53159887,32.887417,1022.92943,86.3714844,12.01434187,11.02,0.005700583,-2.35E-07,79.00649638,1539.687108
14.25172747,30.83816571,32.987724,1022.706798,90.77193521,22.76408404,11.27,0.012893337,-5.01E-07,72.11728129,1540.962048
28.33504159,29.79161605,33.0026,1022.797947,90.53606944,33.51621835,11.17,0.033135087,-3.07E-07,69.91359007,1540.283531
36.99348708,29.26171136,33.00348,1022.868639,87.29607538,42.39095616,11.02,0.029268665,1.59E-07,78.28867098,1539.508092
